miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
bAYoDiphensa	bAYoDiphensa,NP,0,0,n,n#
grahaNapUrbaka	grahaNapUrbaka,NP,0,0,n,n#
u.DAnera	u.DAna,NV,gen,n,n#u.DAna,NC,sg,gen,n,n#u.DAna,NP,sg,gen,n,n#
balAghATa	balAghATa,NP,0,0,n,n#
hArinabA.Di	hArinabA.Di,NP,0,0,n,n#
ja~NgirAa-a-	ja~NgirAa-a-,NP,0,0,n,n#
dambha	dambha,NP,sg,0,n,n#dambha,NV,0,n,n#dambha,NC,sg,0,n,n#
Apattia'a-i	Apattia'a-i,NP,0,0,n,n#
kaShTerai	kaShTerai,NP,0,0,n,n#
sasmAne	sasmAne,NP,0,0,n,n#
sbAsthyakendraTike	sbAsthyakendraTike,NP,0,0,n,n#
?Animeshanera	?Animeshanera,NP,0,0,n,n#
sTorakipArera	sTorakipArera,NP,0,0,n,n#
ina?AkTibheTara'a	ina?AkTibheTara'a,NP,0,0,n,n#
myA~NgomyAmpAlama	myA~NgomyAmpAlama,NP,0,0,n,n#
bhaktisnAnera	bhaktisnAnera,NP,0,0,n,n#
klAsa?a'a	klAsa?a'a,NP,0,0,n,n#
shukonara	shukonara,NP,0,0,n,n#
yea-atyAdhunika	yea-atyAdhunika,NP,0,0,n,n#
prabIradAke	prabIradAke,NP,0,0,n,n#
saliushanasa-era	saliushanasa-era,NP,0,0,n,n#
gatara	gatara,NC,sg,0,n,n#gatara,NV,0,n,n#gatara,NP,sg,0,n,n#
sbarapathaTi	sbarapathaTi,NP,0,0,n,n#
o.NrA	o,PPR,pl,3,0,n,n,n,n#
bAjeTa-bhAShaNe	bAjeTa-bhAShaNe,NP,0,0,n,n#
utatta	utatta,NP,0,0,n,n#
Dhukaleia	Dhukaleia,NP,0,0,n,n#
hArajAi	hArajAi,NP,0,0,n,n#
khAibAre	khAibAre,NP,0,0,n,n#
husAinia-saha	husAinia-saha,NP,0,0,n,n#
rAsTranirdhArita	rAsTranirdhArita,NP,0,0,n,n#
sbataHphUrtabhAbe	sbataHphUrtabhAbe,NP,0,0,n,n#
dIpa-debA.nrA	dIpa-debA.nrA,NP,0,0,n,n#
adhyApakakUlake	adhyApakakUlake,NP,0,0,n,n#
suhRRidadharmera	suhRRidadharmera,NP,0,0,n,n#
jiniso	jiniso,NP,0,0,n,n#
kAjira~NgAra	kAjira~NgAra,NP,0,0,n,n#
rAa-Ti	rAa-Ti,NP,0,0,n,n#
sbIkRRitirai	sbIkRRitirai,NP,0,0,n,n#
parichaYa-a-	parichaYa-a-,NP,0,0,n,n#
iunAiTeDa-DeporaTibho	iunAiTeDa-DeporaTibho,NP,0,0,n,n#
sAmAnyaTukUo	sAmAnyaTukUo,NP,0,0,n,n#
