miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
hisAbamata	hisAbamata,NP,0,0,n,n#
deshai	deshai,NP,0,0,n,n#
bharatabhAiYera.a.a	bharatabhAiYera.a.a,NP,0,0,n,n#
kabarasthAneo	kabarasthAneo,NP,0,0,n,n#
pUrNApAnia-saha	pUrNApAnia-saha,NP,0,0,n,n#
anAdibAbura	anAdibAbura,NP,0,0,n,n#
la.DaChe.'	la.DaChe.',NP,0,0,n,n#
eksasaha	eksasaha,NP,0,0,n,n#
Andolanagulitei	Andolana,NV,loc,y,n#Andolana,NC,pl,loc,y,n#
bhigoa-ra	bhigoa-ra,NP,0,0,n,n#
'thAkaChe	'thAkaChe,NP,0,0,n,n#
bAhmuhArAke	bAhmuhArAke,NP,0,0,n,n#
ujabekistAnerai	ujabekistAnerai,NP,0,0,n,n#
da'upakShera	da'upakShera,NP,0,0,n,n#
betana-bhAtAra	betana-bhAtAra,NP,0,0,n,n#
bijo.D	bijo.D,NP,0,0,n,n#
esakala	esakala,NP,0,0,n,n#
biShaYabinyAsa	biShaYabinyAsa,NP,0,0,n,n#
sahayogIa-sAhAyyakArI	sahayogIa-sAhAyyakArI,NP,0,0,n,n#
yogasAjasheo	yogasAjasha,NP,0,0,n,n#yogasAjasha,NV,0,n,n#yogasAjasha,NC,0,0,n,n#
kopenahegena	kopenahegena,NP,0,0,n,n#
charaNatalAshraYaChinna	charaNatalAshraYaChinna,NP,0,0,n,n#
kAlabhArTao	kAlabhArTao,NP,0,0,n,n#
sItAkUNDa	sItAkUNDa,NP,0,0,n,n#
tAlukaduTira	tAlukaduTira,NP,0,0,n,n#
senegAlija	senegAlija,NP,0,0,n,n#
shrIrAYachaudhurIra	shrIrAYachaudhurIra,NP,0,0,n,n#
garbhadhAriNIa	garbhadhAriNIa,NP,0,0,n,n#
daragA	daragA,NV,0,n,n#daragA,NP,sg,0,n,n#daragA,NC,sg,0,n,n#
DAmpali.nsa	DAmpali.nsa,NP,0,0,n,n#
AlApera	AlApa,NP,sg,gen,n,n#AlApa,NV,gen,n,n#AlApa,NC,sg,gen,n,n#
dakShatAro	dakShatAro,NP,0,0,n,n#
bahiHsImA	bahiHsImA,NP,0,0,n,n#
ChA.Dinia	ChA.Dinia,NP,0,0,n,n#
bideshanItikei	bideshanItikei,NP,0,0,n,n#
mallarAjA	mallarAjA,NP,0,0,n,n#
'nipI.Dita	'nipI.Dita,NP,0,0,n,n#
tulalea.a.a..'	tulalea.a.a..',NP,0,0,n,n#
desha.DAa	desha.DAa,NP,0,0,n,n#
kUmAraga~njakei	kUmAraga~njakei,NP,0,0,n,n#
shabdo	shabdo,NP,0,0,n,n#
aruNabAbuke	aruNabAbuke,NP,0,0,n,n#
bAchchukeo	bAchchukeo,NP,0,0,n,n#
upadAnagulira	upadAna,NV,gen,n,n#upadAna,NC,pl,gen,n,n#
syu	syu,NP,0,0,n,n#
mAdakAsaktarA	mAdakAsaktarA,NP,0,0,n,n#
pariNatia	pariNatia,NP,0,0,n,n#
pitRRibhUmi	pitRRibhUmi,NV,0,n,n#pitRRibhUmi,NC,sg,0,n,n#pitRRibhUmi,NP,sg,0,n,n#
CheYe	Che,NP,sg,0,n,n#ChAoYA,LC,n,0#ChAoYA,VM,3,prs,sim,dcl,nfn,n,n,n#ChAoYA,VAUX,3,prs,sim,dcl,nfn,n,n,n#Che,NV,0,n,n#ChAoYA,LV,n#Che,NC,sg,0,n,n#
habua-jAmAi	habua-jAmAi,NP,0,0,n,n#
paneroa'sha	paneroa'sha,NP,0,0,n,n#
mukUndadeba	mukUndadeba,NP,0,0,n,n#
padArtharA	padArtha,NC,pl,0,n,n#padArtha,NV,0,n,n#padArtha,NP,pl,0,n,n#
kaThina,a'a	kaThina,a'a,NP,0,0,n,n#
kosTe	kosTe,NP,0,0,n,n#
padArthabij~nAnIdera	padArthabij~nAnIdera,NP,0,0,n,n#
TrAYAla-parbera	TrAYAla-parbera,NP,0,0,n,n#
dhapama	dhapama,NP,0,0,n,n#
betaleheme	betaleheme,NP,0,0,n,n#
nAa-baile	nAa-baile,NP,0,0,n,n#
shaktia-sampanna	shaktia-sampanna,NP,0,0,n,n#
AlajiriYa	AlajiriYa,NP,0,0,n,n#
phaloYi.na	phaloYi.na,NP,0,0,n,n#
dhAtubidyAYa	dhAtubidyAYa,NP,0,0,n,n#
kUmudake	kUmudake,NP,0,0,n,n#
kyAlenaDulA	kyAlenaDulA,NP,0,0,n,n#
Alamai	Alamai,NP,0,0,n,n#
shuddhisApekSha	shuddhisApekSha,NP,0,0,n,n#
tabahi	tabahi,NP,0,0,n,n#
pApo	pApo,NP,0,0,n,n#
nArjinAri	nArjinAri,NP,0,0,n,n#
rAuthera	rAuthera,NP,0,0,n,n#
limanAiYasa	limanAiYasa,NP,0,0,n,n#
biddhaka	biddhaka,NP,sg,0,n,n#biddhaka,NV,0,n,n#biddhaka,NC,sg,0,n,n#
gRRihasajjA	gRRihasajjA,NV,0,n,n#gRRihasajjA,NP,sg,0,n,n#gRRihasajjA,NC,sg,0,n,n#
shabdakhelAYa	shabdakhelAYa,NP,0,0,n,n#
yugmashabde	yugmashabde,NP,0,0,n,n#
nabInarA	nabInarA,NP,0,0,n,n#
hartAkartArA	hartAkartA,NC,pl,0,n,n#hartAkartA,NV,0,n,n#hartAkartA,NP,pl,0,n,n#
hinAlaYera	hinAlaYera,NP,0,0,n,n#
abagatirUpa	abagatirUpa,NP,0,0,n,n#
nAgerabAjAre	nAgerabAjAre,NP,0,0,n,n#
TAlia	TAlia,NP,0,0,n,n#
dIrghAbaYaba	dIrghAbaYaba,NP,0,0,n,n#
kATiga~NgAa	kATiga~NgAa,NP,0,0,n,n#
shrIraNajitkUmAra	shrIraNajitkUmAra,NP,0,0,n,n#
nAmATAi	nAmATAi,NP,0,0,n,n#
yubatITira	yubatITira,NP,0,0,n,n#
ThAkarera	ThAkarera,NP,0,0,n,n#
utsabAnuShThAna	utsabAnuShThAna,NP,0,0,n,n#
nItiTira	nItiTira,NP,0,0,n,n#
AnasAla	AnasAla,NP,0,0,n,n#
narendradera	narendra,NP,pl,gen,n,n#narendra,NV,gen,n,n#narendra,NC,pl,gen,n,n#
iYAlo	iYAlo,NP,0,0,n,n#
rAsTrabyabasthAYa	rAsTrabyabasthAYa,NP,0,0,n,n#
bAkanarera	bAkanarera,NP,0,0,n,n#
bij.naptii	bij.napti,NP,0,0,n,n#bij.napti,NC,0,0,n,n#bij.napti,NV,0,n,n#
baipAgala	baipAgala,NP,0,0,n,n#
g?.NAjA	g?.NAjA,NP,0,0,n,n#
smRRitira	smRRiti,NC,sg,gen,n,n#smRRiti,NV,gen,n,n#smRRiti,NP,sg,gen,n,n#
debi	debi,NP,0,0,n,n#
kailena	kailena,NP,0,0,n,n#
pratinidhibRRinda	pratinidhibRRinda,NP,0,0,n,n#
pArabeo	pArabeo,NP,0,0,n,n#
AdhArashilA	AdhArashilA,NP,0,0,n,n#
santrAsabAdamukhI	santrAsabAdamukhI,NP,0,0,n,n#
jana-bichChinnatAa'ra	jana-bichChinnatAa'ra,NP,0,0,n,n#
jAnAlATi	jAnAlATi,NP,0,0,n,n#
lekhAtena	lekhAno,VM,3,prs,pft,dcl,fin,n,n,n#lekhAno,VAUX,3,prs,pft,dcl,fin,n,n,n#
he.NTamuNDa	he.NTamuNDa,NP,0,0,n,n#
sputanikaguli	sputanikaguli,NP,0,0,n,n#
samaYabhittika	samaYabhittika,NP,0,0,n,n#
pakShapAtI	pakShapAtI,JQ,n,n,nnm#pakShapAtI,JJ,n,n#
TAkIte	TAkIte,NP,0,0,n,n#
bhenaglasa	bhenaglasa,NP,0,0,n,n#
masajida-mAdrAsAra	masajida-mAdrAsAra,NP,0,0,n,n#
iNDAla-kartRRipakShake	iNDAla-kartRRipakShake,NP,0,0,n,n#
biShaYasaÎyukta	biShaYasaÎyukta,NP,0,0,n,n#
pApua	pApua,NP,0,0,n,n#
la~nchAra-saha	la~nchAra-saha,NP,0,0,n,n#
klAbasa	klAbasa,NP,0,0,n,n#
nItia-grahaNa	nItia-grahaNa,NP,0,0,n,n#
bAgaDaharA	bAgaDaharA,NP,0,0,n,n#
sAmalAia	sAmalAia,NP,0,0,n,n#
?AnTia-brAiberi	?AnTia-brAiberi,NP,0,0,n,n#
bAsATi	bAsATi,NP,0,0,n,n#
rAjyAbhimukhI	rAjyAbhimukhI,NP,0,0,n,n#
koapAreshAna	koapAreshAna,NP,0,0,n,n#
sAbasTeshanaguli	sAbasTeshanaguli,NP,0,0,n,n#
'shrInagare	'shrInagare,NP,0,0,n,n#
puShpasakalera	puShpasakalera,NP,0,0,n,n#
ekabhATira	ekabhATira,NP,0,0,n,n#
AlogrAhaka	AlogrAhaka,NP,0,0,n,n#
?AnTana-mAkhAmabha	?AnTana-mAkhAmabha,NP,0,0,n,n#
matijhila	matijhila,NP,0,0,n,n#
sukumArake	sukumArake,NP,0,0,n,n#
tamIshbarANA.na.a.a.a	tamIshbarANA.na.a.a.a,NP,0,0,n,n#
jAlakAkRRiti	jAlakAkRRiti,NP,0,0,n,n#
prabhedaTuku	prabhedaTuku,NP,0,0,n,n#
dibyendua	dibyendua,NP,0,0,n,n#
mAYAmRRiga	mAYAmRRiga,NV,0,n,n#mAYAmRRiga,NC,sg,0,n,n#mAYAmRRiga,NP,sg,0,n,n#
rugnatA	rugnatA,NP,0,0,n,n#
purniYAra	purniYAra,NP,0,0,n,n#
phreiDela	phreiDela,NP,0,0,n,n#
prabhAbaTio	prabhAbaTio,NP,0,0,n,n#
yYAlAna	yYAlAna,NP,0,0,n,n#
pauruShe	pauruShe,NP,0,0,n,n#
AAnTArkaTikA	AAnTArkaTikA,NP,0,0,n,n#
paramANutei	paramANu,NC,0,loc,n,n#paramANu,NV,loc,n,n#
patheghATe	patheghATe,JJ,n,n#patheghATe,JQ,n,n,nnm#
yuddhabigrahe	yuddhabigraha,NP,sg,0,n,n#yuddhabigraha,NC,sg,0,n,n#yuddhabigraha,NV,0,n,n#
dhUmaketugulira	dhUmaketu,NC,pl,gen,n,n#dhUmaketu,NV,gen,n,n#
daNDaprApta	daNDaprApta,NP,0,0,n,n#
'mAjhemadhye	'mAjhemadhye,NP,0,0,n,n#
ostAdajI	ostAdajI,NP,0,0,n,n#
rAjAbAjAra-saha	rAjAbAjAra-saha,NP,0,0,n,n#
churia-a-	churia-a-,NP,0,0,n,n#
nairbyaktita	nairbyaktita,NP,0,0,n,n#
ThuÏrIi	ThuÏrIi,NP,0,0,n,n#
prAmANikatA	prAmANikatA,NP,sg,0,n,n#prAmANikatA,NV,0,n,n#prAmANikatA,NC,sg,0,n,n#
mukhapatraTi	mukhapatraTi,NP,0,0,n,n#
ludabhigashAphene	ludabhigashAphene,NP,0,0,n,n#
khA.N.DiTA	khA.N.Di,NC,sg,0,y,n#khA.N.Di,NV,0,y,n#
enaTri	enaTri,NP,0,0,n,n#
dAdAa-bhAiYera	dAdAa-bhAiYera,NP,0,0,n,n#
rebha	rebha,NP,0,0,n,n#
nana'.'	nana'.',NP,0,0,n,n#
themea	themea,NP,0,0,n,n#
'bAhinIra	'bAhinIra,NP,0,0,n,n#
?AnTanii	?AnTanii,NP,0,0,n,n#
mATiYA	mATiYA,NP,0,0,n,n#
'muralIra	'muralIra,NP,0,0,n,n#
maDAreTarA	maDAreTarA,NP,0,0,n,n#
oYyArasa	oYyArasa,NP,0,0,n,n#
iÑlyANDAmerikAra	iÑlyANDAmerikAra,NP,0,0,n,n#
kArakhAnAgulio	kArakhAnA,NV,0,y,n#kArakhAnA,NC,pl,0,y,n#
sAinite	sAinite,NP,0,0,n,n#
shilpanagarIra	shilpanagarIra,NP,0,0,n,n#
mACha-	mACha-,NP,0,0,n,n#
abarodha'a-e	abarodha'a-e,NP,0,0,n,n#
shrIrAmakRRiShNera.'	shrIrAmakRRiShNera.',NP,0,0,n,n#
Dipo	Dipo,NC,sg,0,n,n#Dipo,NV,0,n,n#Dipo,NP,sg,0,n,n#
runubinu	runubinu,NP,0,0,n,n#
yAtrIbikShobhe	yAtrIbikShobhe,NP,0,0,n,n#
ekaTukhAnia	ekaTukhAnia,NP,0,0,n,n#
khAdyAnusandhAnera	khAdyAnusandhAnera,NP,0,0,n,n#
dakhalamuktira	dakhalamuktira,NP,0,0,n,n#
dIrghAkRRiti	dIrghAkRRiti,NP,0,0,n,n#
Arabite	Arabite,NP,0,0,n,n#
shilpodyogIra	shilpodyogIra,NP,0,0,n,n#
bigulike	bi,NV,acc,y,n#bi,NC,pl,acc,y,n#
TrimArera	TrimArera,NP,0,0,n,n#
kocha'a'a	kocha'a'a,NP,0,0,n,n#
pI.Dakera	pI.Dakera,NP,0,0,n,n#
maNikAdera	maNikA,NP,pl,gen,n,n#maNikA,NV,gen,n,n#maNikA,NC,pl,gen,n,n#
ihAkei	ihAkei,NP,0,0,n,n#
niYamarakShATukUo	niYamarakShATukUo,NP,0,0,n,n#
ka'dinera	ka'dinera,NP,0,0,n,n#
sbArthahAnira	sbArthahAnira,NP,0,0,n,n#
madhuchChatrera	madhuchChatra,NP,sg,gen,n,n#madhuchChatra,NC,sg,gen,n,n#madhuchChatra,NV,gen,n,n#
shika.Dakei	shika.Da,NV,acc,n,n#shika.Da,NP,sg,acc,n,n#shika.Da,NC,sg,acc,n,n#
heroinao.'	heroinao.',NP,0,0,n,n#
najarula-upasthitira	najarula-upasthitira,NP,0,0,n,n#
nirupama-saha	nirupama-saha,NP,0,0,n,n#
dainanandina	dainanandina,NP,0,0,n,n#
bAsaruTa)a	bAsaruTa)a,NP,0,0,n,n#
bidara	bidara,NP,0,0,n,n#
dharea-a-	dharea-a-,NP,0,0,n,n#
'maulabAdI	'maulabAdI,NP,0,0,n,n#
inasiDenTa.'	inasiDenTa.',NP,0,0,n,n#
mArkinarAa	mArkinarAa,NP,0,0,n,n#
AbegamaYatA	AbegamaYatA,NP,0,0,n,n#
sa.ngItAdi	sa.ngItAdi,NP,0,0,n,n#
phichAre	phichAre,NP,0,0,n,n#
netrabIkShaNa	netrabIkShaNa,NP,0,0,n,n#
kanakendranAtha	kanakendranAtha,NP,0,0,n,n#
TAiYera	TAi,NV,0,n,n#TAi,NC,sg,0,n,n#TAi,NP,sg,0,n,n#
abichChina	abichChina,NP,0,0,n,n#
enimi	enimi,NP,0,0,n,n#
meChobaka	meChobaka,NP,0,0,n,n#
bAranamo.DAra	bAranamo.DAra,NP,0,0,n,n#
paribahaNa-kartAdera	paribahaNa-kartAdera,NP,0,0,n,n#
Artha-samAja	Artha-samAja,NP,0,0,n,n#
pAdarirAo	pAdarirAo,NP,0,0,n,n#
jhArira	jhAri,NP,sg,gen,n,n#jhAri,NC,sg,gen,n,n#jhAri,NV,gen,n,n#
punarAshbasta	punarAshbasta,NP,0,0,n,n#
chA~Na.Dera	chA~Na.Da,NP,sg,gen,n,n#chA~Na.Da,NV,gen,n,n#chA~Na.Da,NC,sg,gen,n,n#
kAkerAo	kAka,NC,pl,0,y,n#kAka,NP,pl,0,y,n#kAka,NV,0,y,n#
subuddhi	subuddhi,NC,sg,0,n,n#subuddhi,JQ,n,n,nnm#subuddhi,JJ,n,n#subuddhi,NV,0,n,n#subuddhi,NP,sg,0,n,n#
brAmAa	brAmAa,NP,0,0,n,n#
AYarana-guNasamRRiddha	AYarana-guNasamRRiddha,NP,0,0,n,n#
arghyara	arghyara,NP,0,0,n,n#
yebhUmikAte	yebhUmikAte,NP,0,0,n,n#
'yathAyatha	'yathAyatha,NP,0,0,n,n#
paNDitajira	paNDitajira,NP,0,0,n,n#
ke.DeChilena	kA.DA,VAUX,3,pst,pft,dcl,fin,n,n,y#kA.DA,VM,3,pst,pft,dcl,fin,n,n,y#
ja~njAlastupa	ja~njAlastupa,NP,0,0,n,n#
praDiusArasa	praDiusArasa,NP,0,0,n,n#
yYAmesa	yYAmesa,NP,0,0,n,n#
apsarIdera	apsarI,NP,pl,gen,n,n#apsarI,NV,gen,n,n#apsarI,NC,pl,gen,n,n#
imporTa-eksaporTa	imporTa-eksaporTa,NP,0,0,n,n#
no.DATA	no.DA,NV,0,y,n#no.DA,NC,sg,0,y,n#
bA.nlAa-pharAsi	bA.nlAa-pharAsi,NP,0,0,n,n#
aChimuddinera	aChimuddinera,NP,0,0,n,n#
pAdukAYa	pAdukA,NC,sg,0,n,n#pAdukA,NV,0,n,n#
patha,a'a	patha,a'a,NP,0,0,n,n#
pATTAYAa	pATTAYAa,NP,0,0,n,n#
byaktisattAYa	byaktisattA,NC,sg,0,n,n#byaktisattA,NV,0,n,n#
grahaNe	grahaNa,NV,0,n,n#grahaNa,NP,sg,0,n,n#grahaNa,NC,sg,0,n,n#
bishbabhAratIa-sa.nskaraNera	bishbabhAratIa-sa.nskaraNera,NP,0,0,n,n#
nAa-karAa	nAa-karAa,NP,0,0,n,n#
TakmaYeDera	TakmaYeDera,NP,0,0,n,n#
prayuktia-shikShA	prayuktia-shikShA,NP,0,0,n,n#
totAkAhinIa	totAkAhinIa,NP,0,0,n,n#
sAjaposhAkea	sAjaposhAkea,NP,0,0,n,n#
shikArIi	shikArI,NP,0,0,n,n#shikArI,NV,0,n,n#shikArI,NC,0,0,n,n#
khoYAraDA~NAra	khoYAraDA~NAra,NP,0,0,n,n#
syuTera	syuTera,NP,0,0,n,n#
unmAdanAa-a-	unmAdanAa-a-,NP,0,0,n,n#
sUchichitre	sUchichitre,NP,0,0,n,n#
bhabendrabAbuke	bhabendrabAbuke,NP,0,0,n,n#
DAkea/bApa	DAkea/bApa,NP,0,0,n,n#
mudrAi	mudrA,NV,0,n,n#mudrA,NC,0,0,n,n#mudrA,NP,0,0,n,n#
prAisi.n	prAisi.n,NP,0,0,n,n#
prAchInatbe	prAchInatba,NV,0,n,n#prAchInatba,NC,sg,0,n,n#prAchInatba,NP,sg,0,n,n#
meshinajAta	meshinajAta,NP,0,0,n,n#
anukta	anukta,JQ,n,n,nnm#anukta,NV,0,n,n#anukta,NP,sg,0,n,n#anukta,NC,sg,0,n,n#anukta,JJ,n,n#
bibRRiti	bibRRiti,NP,sg,0,n,n#bibRRiti,NV,0,n,n#bibRRiti,NC,sg,0,n,n#
sAiera	sAiera,NP,0,0,n,n#
itihAsa-bhAbanAra	itihAsa-bhAbanAra,NP,0,0,n,n#
iunibhArsa-	iunibhArsa-,NP,0,0,n,n#
abhAbe	abhAba,NV,0,n,n#abhAba,NC,sg,0,n,n#abhAba,NP,sg,0,n,n#
jAniYAChe	jAniYAChe,NP,0,0,n,n#
chU.DAguli	chU.DA,NV,0,y,n#chU.DA,NC,pl,0,y,n#
ToTesaha	ToTesaha,NP,0,0,n,n#
mAThamukho	mAThamukho,NP,0,0,n,n#
shikShAkarmI	shikShAkarmI,NP,0,0,n,n#
amuke	amuka,NP,sg,0,n,n#amuka,NV,0,n,n#amuka,NC,sg,0,n,n#
saranAYeke	saranAYeke,NP,0,0,n,n#
dAYagrAhakera	dAYagrAhakera,NP,0,0,n,n#
sAirenagulira	sAirenagulira,NP,0,0,n,n#
upa-mukhyamantrIa	upa-mukhyamantrIa,NP,0,0,n,n#
chekakATA	chekakATA,JQ,n,n,nnm#chekakATA,JJ,n,n#
mithilesha	mithilesha,NP,sg,0,n,n#mithilesha,NC,sg,0,n,n#mithilesha,NV,0,n,n#
taralitachandrikAa-ra	taralitachandrikAa-ra,NP,0,0,n,n#
abasara-jIbaneo	abasara-jIbaneo,NP,0,0,n,n#
bAdhATi	bAdhATi,NP,0,0,n,n#
tribeNIlAla	tribeNIlAla,NP,0,0,n,n#
hAYAtute	hAYAtute,NP,0,0,n,n#
nisphalatA	nisphalatA,NP,0,0,n,n#
uttarapA.DAteo	uttarapA.DAteo,NP,0,0,n,n#
paribeshakerA	paribeshaka,NP,pl,0,n,n#paribeshaka,NC,pl,0,n,n#paribeshaka,NV,0,n,n#
kanuia-e	kanuia-e,NP,0,0,n,n#
kA~NAlIra	kA~NAlI,NP,sg,gen,n,n#kA~NAlI,NC,sg,gen,n,n#kA~NAlI,NV,gen,n,n#
bidroha'a-ke	bidroha'a-ke,NP,0,0,n,n#
raktachakShe	raktachakShe,NP,0,0,n,n#
topachA.NAchite	topachA.NAchite,NP,0,0,n,n#
rupoa-sonAra	rupoa-sonAra,NP,0,0,n,n#
poShTakArDa	poShTakArDa,NP,0,0,n,n#
sbAdabadala	sbAdabadala,NP,0,0,n,n#
kAnijAa-ra	kAnijAa-ra,NP,0,0,n,n#
chAa-parabera	chAa-parabera,NP,0,0,n,n#
A.DatadArake	A.DatadAra,NV,acc,n,n#A.DatadAra,NC,sg,acc,n,n#
chAlachalane	chAlachalana,NC,sg,0,n,n#chAlachalana,NP,sg,0,n,n#chAlachalana,NV,0,n,n#
AnArasera	AnArasa,NC,sg,gen,n,n#AnArasa,NV,gen,n,n#AnArasa,NP,sg,gen,n,n#
?Anathrapolajia'ra	?Anathrapolajia'ra,NP,0,0,n,n#
naitikatAke	naitikatAke,NP,0,0,n,n#
bArjiote	bArjiote,NP,0,0,n,n#
khoYAgulo	khoYA,NV,0,y,n#khoYA,NC,pl,0,y,n#
iNDorao	iNDorao,NP,0,0,n,n#
putrarUpI	putrarUpI,NP,0,0,n,n#
AdatakathAa'a	AdatakathAa'a,NP,0,0,n,n#
shAsakutpAdanera	shAsakutpAdanera,NP,0,0,n,n#
puraskRRita	puraskRRita,JJ,n,n#puraskRRita,JQ,n,n,nnm#
upayogachintAra	upayogachintAra,NP,0,0,n,n#
shachidebIra	shachidebIra,NP,0,0,n,n#
hAnATAi	hAnATAi,NP,0,0,n,n#
khuliYAChila	khuliYAChila,NP,0,0,n,n#
erijanya	erijanya,NP,0,0,n,n#
koliYAriguloo	koliYAriguloo,NP,0,0,n,n#
riDAradera	riDAradera,NP,0,0,n,n#
jagannAthi	jagannAthi,NP,0,0,n,n#
'ekakAle	'ekakAle,NP,0,0,n,n#
'bhuTabhuTira	'bhuTabhuTira,NP,0,0,n,n#
chughatAia-era	chughatAia-era,NP,0,0,n,n#
ChoTarAo	ChoTarAo,NP,0,0,n,n#
bAdaChAda	bAdaChAda,NP,0,0,n,n#
eneChila	AnA,VAUX,3,pst,pft,dcl,fin,n,n,n#AnA,VM,3,pst,pft,dcl,fin,n,n,n#
akalpitapUrba	akalpitapUrba,NP,0,0,n,n#
bharAbe	bharAno,VM,2,fut,sim,dcl,fin,n,n,n#bharAno,VAUX,2,fut,sim,dcl,fin,n,n,n#
abanatia	abanatia,NP,0,0,n,n#
bIja-utpAdakadera	bIja-utpAdakadera,NP,0,0,n,n#
kiua-bAgAna	kiua-bAgAna,NP,0,0,n,n#
nAjaki	nAjaki,NP,0,0,n,n#
karmodyogI	karmodyogI,NP,0,0,n,n#
sundarabaneo	sundarabaneo,NP,0,0,n,n#
sthAnagulo	sthAna,NC,pl,0,y,n#sthAna,NV,0,y,n#
chInemyAnadera	chInemyAnadera,NP,0,0,n,n#
rabinagara	rabinagara,NP,0,0,n,n#
tAna-laYa-Chanda-tehAi	tAna-laYa-Chanda-tehAi,NP,0,0,n,n#
pathaparikramAo	pathaparikramAo,NP,0,0,n,n#
andhrete	andhra,NC,sg,loc,n,n#andhra,NP,sg,loc,n,n#andhra,NV,loc,n,n#
snAYukalAra	snAYukalAra,NP,0,0,n,n#
janashakti	janashakti,NP,0,0,n,n#
cholia-ghAgarAa-u.Danira	cholia-ghAgarAa-u.Danira,NP,0,0,n,n#
shbetalAnA	shbetalAnA,NP,0,0,n,n#
rAmabRRija	rAmabRRija,NP,0,0,n,n#
eleChilena	eleChilena,NP,0,0,n,n#
hijabullAa	hijabullAa,NP,0,0,n,n#
pAnnAgulira	pAnnA,NC,pl,gen,n,n#pAnnA,NV,gen,n,n#
'hisTri	'hisTri,NP,0,0,n,n#
mAkhiYea	mAkhiYea,NP,0,0,n,n#
rA.NAdhabe	rA.NAdhabe,NP,0,0,n,n#
'rAjesha	'rAjesha,NP,0,0,n,n#
ArAkAnarAja	ArAkAnarAja,NP,0,0,n,n#
tabye	tabye,NP,0,0,n,n#
rAjadIpera	rAjadIpera,NP,0,0,n,n#
mAdArinalake	mAdArinalake,NP,0,0,n,n#
sphirelA	sphirelA,NP,0,0,n,n#
mokAnika	mokAnika,NP,0,0,n,n#
sachChalao	sachChalao,NP,0,0,n,n#
ryA~Nkeprabartita	ryA~Nkeprabartita,NP,0,0,n,n#
halaphanAmATike	halaphanAmATike,NP,0,0,n,n#
sArjArite	sArjArite,NP,0,0,n,n#
pheYenurDake	pheYenurDake,NP,0,0,n,n#
paryadera	paryadera,NP,0,0,n,n#
a~NkurahATira	a~NkurahATira,NP,0,0,n,n#
bA.NAkiYea-churiYe	bA.NAkiYea-churiYe,NP,0,0,n,n#
kyAleiDoskopa	kyAleiDoskopa,NP,0,0,n,n#
dA.N.DAiYA	dA.N.DAiYA,NP,0,0,n,n#
kAsTasa	kAsTasa,NP,0,0,n,n#
asA.Da	asA.Da,JQ,n,n,nnm#asA.Da,JJ,n,n#
philipite	philipite,NP,0,0,n,n#
mesojoYA	mesojoYA,NP,0,0,n,n#
mAkhenani	mAkhenani,NP,0,0,n,n#
ilekTranikasa	ilekTranikasa,NP,0,0,n,n#
TAkApaYasAra	TAkApaYasA,NP,sg,gen,n,n#TAkApaYasA,NV,gen,n,n#TAkApaYasA,NC,sg,gen,n,n#
brajenabAbua	brajenabAbua,NP,0,0,n,n#
nAmAtAma	nAmAno,VAUX,3,prs,pft,dcl,fin,n,n,n#nAmAno,VM,3,prs,pft,dcl,fin,n,n,n#
phAinAlisTadera	phAinAlisTadera,NP,0,0,n,n#
kRRiShNadera	kRRiShNa,NC,pl,gen,n,n#kRRiShNa,NP,pl,gen,n,n#kRRiShNa,NV,gen,n,n#
DhAkia;a/ChAYAa-helA	DhAkia;a/ChAYAa-helA,NP,0,0,n,n#
julAia-sepTembare	julAia-sepTembare,NP,0,0,n,n#
padakShepa'a	padakShepa'a,NP,0,0,n,n#
maYUrAkShI	maYUrAkShI,NP,0,0,n,n#
sela-bi	sela-bi,NP,0,0,n,n#
asoYAlDera	asoYAlDera,NP,0,0,n,n#
TyAphAsAna	TyAphAsAna,NP,0,0,n,n#
sarbottama	sarbottama,JJ,n,n#sarbottama,JQ,n,n,nnm#
slogAnaTAke	slogAnaTAke,NP,0,0,n,n#
jolAparUpe	jolAparUpe,NP,0,0,n,n#
alindA	alindA,NP,0,0,n,n#
punanirrbAchanera	punanirrbAchanera,NP,0,0,n,n#
lAYe	lA,NC,sg,0,n,n#lA,NP,sg,0,n,n#lA,NV,0,n,n#
AA~Ngike	AA~Ngike,NP,0,0,n,n#
bisheShadharmI	bisheShadharmI,NP,0,0,n,n#
sho.NYApokA	sho.NYApokA,NP,0,0,n,n#
yea-parichaYai	yea-parichaYai,NP,0,0,n,n#
saraChi	sarA,VAUX,1,prs,prg,dcl,fin,n,n,n#sarA,VM,1,prs,prg,dcl,fin,n,n,n#
puNyArthIi	puNyArthIi,NP,0,0,n,n#
shodhanAgAragulike	shodhanAgAragulike,NP,0,0,n,n#
yAjakarA	yAjaka,NC,pl,0,n,n#yAjaka,NV,0,n,n#yAjaka,NP,pl,0,n,n#
ba~nchanAa'ra	ba~nchanAa'ra,NP,0,0,n,n#
mejagigni	mejagigni,NP,0,0,n,n#
nikArasana	nikArasana,NP,0,0,n,n#
rAjyashrI	rAjyashrI,NP,0,0,n,n#
yantra-niYantrita	yantra-niYantrita,NP,0,0,n,n#
khune	khuna,NV,0,n,n#khuna,NC,sg,0,n,n#khuna,NP,sg,0,n,n#khune,JQ,n,n,nnm#khune,JJ,n,n#
ga.DibAra	ga.DibAra,NP,0,0,n,n#
kAluchakera	kAluchakera,NP,0,0,n,n#
--pabitra	--pabitra,NP,0,0,n,n#
